customer_id,concept_id,pilot_interest,urgency_score,budget_signal,willingness_to_pay,expected_value,implementation_risk
CUST-0073,CONCEPT-001,0.014,0.049,0.0325,0.307,0.371,0.535
CUST-0004,CONCEPT-001,0.026,0.004,0.005,0.266,0.185,0.521
CUST-0069,CONCEPT-001,0.043,0.0,0.425,0.177,0.131,0.381
CUST-0019,CONCEPT-001,0.0,0.007,0.173,0.279,0.236,0.365
CUST-0065,CONCEPT-001,0.057,0.271,0.233,0.28,0.19,0.495
CUST-0017,CONCEPT-001,0.03,0.0,0.0,0.324,0.221,0.478
CUST-0002,CONCEPT-001,0.139,0.0,0.0,0.364,0.291,0.478
CUST-0048,CONCEPT-001,0.012,0.0,0.0,0.189,0.191,0.495
CUST-0034,CONCEPT-001,0.186,0.058,0.062,0.204,0.113,0.342
CUST-0039,CONCEPT-001,0.142,0.064,0.06,0.293,0.109,0.448
CUST-0043,CONCEPT-001,0.142,0.088,0.0,0.113,0.087,0.487
CUST-0064,CONCEPT-002,0.433,0.247,0.258,0.437,0.406,0.28
CUST-0051,CONCEPT-002,0.477,0.17,0.501,0.592,0.538,0.182
CUST-0055,CONCEPT-002,0.218,0.267,0.232,0.468,0.31,0.2
CUST-0005,CONCEPT-002,0.276,0.175,0.412,0.448,0.438,0.258
CUST-0066,CONCEPT-002,0.378,0.128,0.448,0.504,0.431,0.221
CUST-0054,CONCEPT-002,0.291,0.404,0.29,0.544,0.557,0.38
CUST-0029,CONCEPT-002,0.304,0.255,0.29,0.581,0.47,0.16
CUST-0026,CONCEPT-002,0.199,0.243,0.032,0.512,0.433,0.452
CUST-0022,CONCEPT-002,0.294,0.337,0.069,0.34,0.329,0.124
CUST-0031,CONCEPT-002,0.158,0.196,0.043,0.406,0.325,0.433
CUST-0038,CONCEPT-002,0.214,0.189,0.038,0.442,0.388,0.509
CUST-0027,CONCEPT-002,0.353,0.233,0.296,0.608,0.468,0.37
CUST-0060,CONCEPT-002,0.532,0.406,0.29,0.622,0.686,0.196
CUST-0063,CONCEPT-002,0.319,0.473,0.38,0.453,0.448,0.303
CUST-0039,CONCEPT-002,0.593,0.453,0.411,0.702,0.612,0.258
CUST-0009,CONCEPT-002,0.303,0.445,0.29,0.517,0.428,0.43
CUST-0017,CONCEPT-002,0.345,0.217,0.331,0.485,0.349,0.103
CUST-0062,CONCEPT-002,0.399,0.192,0.447,0.423,0.39,0.21
CUST-0068,CONCEPT-002,0.502,0.243,0.209,0.548,0.414,0.251
CUST-0036,CONCEPT-002,0.345,0.324,0.407,0.542,0.433,0.252
CUST-0035,CONCEPT-002,0.205,0.257,0.192,0.536,0.499,0.212
CUST-0003,CONCEPT-002,0.358,0.197,0.42,0.545,0.441,0.436
