concept_id,concept_name,industry,problem_area,target_user,delivery_complexity,strategic_fit,n_demos,n_trials,demand_intensity,engagement_depth,engagement_depth_norm,feasibility_risk,repeatability,segment_similarity,revenue_potential,confidence,follow_up_rate,avg_pilot_interest,avg_objection_count_text,capability_request_rate,positive_comment_ratio,baseline_readiness_score,baseline_rank,cluster_id,cluster_profile,synthetic_outcome,recommended_outcome,ml_confidence_score,prob_Archive,prob_Customer_Pilot,prob_Incubate,prob_Reusable_Asset,readiness_score,portfolio_rank,confidence_score,key_evidence
CONCEPT-001,Revenue Intelligence Platform,Healthcare,Revenue Forecasting,Data Science Lead,4,0.626,20,4,0.2857,10.51725,0.0777454913087434,0.593385,0.1324166666666666,0.9737442107740576,0.30585,0.7310000000000001,0.3,0.214,2.0556,0.9444,0.0,36.0,8,2,Low Demand / High Effort (2),Archive,Archive,0.93,0.93,0.01,0.055,0.005,53.1,6,0.821,minimal sandbox engagement; demand consistent across segments; elevated feasibility risk (0.59); negative customer sentiment (0%); high capability request rate (94%)
CONCEPT-002,Logistics Optimization Engine,Manufacturing,Supply Chain Optimization,Operations Manager,4,0.463,34,0,0.1458161764705882,0.0,0.0,0.6213220588235294,0.0,0.9856821025357267,0.193635294117647,0.8701058823529413,0.0,0.1096470588235294,2.1786,0.9286,0.0,27.0,12,1,Low Demand / High Effort,Archive,Archive,0.97,0.97,0.01,0.015,0.005,48.0,10,0.915,weak demand intensity (0.15); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.62)
CONCEPT-003,Intelligent Document Router,Financial Services,Document Intelligence,CIO / CTO,3,0.643,17,6,0.44015,119.13294117647058,0.8806531215688833,0.4155117647058824,0.2283333333333333,0.9605278464659434,0.3770058823529412,0.7712,0.4705882352941176,0.3577647058823529,1.3125,0.9375,0.1875,54.8,3,3,High Demand / Low Effort (3),Customer Pilot,Customer Pilot,0.86,0.05,0.86,0.035,0.055,64.2,1,0.811,deep sandbox engagement (norm=0.88); demand consistent across segments; high follow-up rate (47%); negative customer sentiment (19%); high capability request rate (94%)
CONCEPT-004,Anomaly Alert System,Manufacturing,Predictive Maintenance,Operations Manager,4,0.538,31,10,0.3694709677419355,16.072926267281105,0.1188140958348406,0.5838580645161291,0.2062903225806451,0.9114493709718886,0.3433290322580645,1.0,0.4516129032258064,0.2680645161290322,2.04,0.96,0.04,38.7,6,2,Low Demand / High Effort (2),Archive,Archive,0.78,0.78,0.12,0.07,0.03,50.5,8,0.901,demand consistent across segments; elevated feasibility risk (0.58); high follow-up rate (45%); negative customer sentiment (4%); high capability request rate (96%)
CONCEPT-005,Smart Workforce Copilot,Public Sector,Workforce Productivity,Business Analyst,2,0.416,34,16,0.5042838235294118,135.27794117647056,1.0,0.2403676470588235,0.2959803921568627,0.9457260926810096,0.4219205882352941,0.9897058823529412,0.5588235294117647,0.4206470588235294,1.9333,0.8667,0.0,57.1,1,0,High Demand / Low Effort,Customer Pilot,Customer Pilot,0.795,0.035,0.795,0.015,0.155,63.8,2,0.902,strong demand intensity (0.50); deep sandbox engagement (norm=1.00); demand consistent across segments; solid revenue potential (0.42); favorable feasibility profile (0.24)
CONCEPT-006,Customer Insight Platform,Telecommunications,Customer Service Automation,Customer Success Director,3,0.583,26,6,0.3495038461538461,8.764423076923077,0.0647882648176161,0.4271730769230769,0.1335897435897436,0.8906053390023725,0.2945269230769231,0.8981384615384616,0.3076923076923077,0.2175384615384615,1.9545,1.0,0.1364,38.1,7,2,Low Demand / High Effort (2),Incubate,Incubate,0.615,0.305,0.07,0.615,0.01,45.1,12,0.771,minimal sandbox engagement; negative customer sentiment (14%); high capability request rate (100%)
CONCEPT-007,Fraud Investigation Assistant,Financial Services,Fraud Detection,Data Science Lead,4,0.863,16,1,0.167115625,2.1656249999999995,0.0160087075628607,0.61153125,0.0242708333333333,0.9414280289606344,0.1902375,0.6037250000000001,0.0625,0.115125,2.4286,0.9286,0.0,31.0,9,1,Low Demand / High Effort,Archive,Archive,0.95,0.95,0.0,0.02,0.03,50.2,9,0.76,weak demand intensity (0.17); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.19); elevated feasibility risk (0.61)
CONCEPT-008,Smart Maintenance Copilot,Energy & Utilities,Predictive Maintenance,Operations Manager,4,0.532,14,1,0.2052392857142857,0.4535714285714285,0.0033528853605167,0.6124071428571429,0.0527380952380952,0.9620871732648304,0.2315357142857142,0.5694,0.1428571428571428,0.1460714285714285,2.2308,0.9231,0.0,30.0,10,1,Low Demand / High Effort,Archive,Archive,0.985,0.985,0.0,0.01,0.005,50.6,7,0.756,weak demand intensity (0.21); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.23); elevated feasibility risk (0.61)
CONCEPT-009,Productivity Insight Engine,Public Sector,Workforce Productivity,CIO / CTO,3,0.331,15,0,0.22716,0.0,0.0,0.43936,0.0,0.9256339137665182,0.2588,0.5606666666666666,0.0,0.1421333333333333,1.75,0.75,0.0,29.3,11,1,Low Demand / High Effort,Archive,Archive,0.855,0.855,0.065,0.07,0.01,46.2,11,0.693,weak demand intensity (0.23); minimal sandbox engagement; demand consistent across segments; low revenue potential (0.26); limited evidence confidence (0.56)
CONCEPT-010,Workflow Intelligence Platform,Energy & Utilities,Workforce Productivity,CIO / CTO,3,0.33,16,4,0.441690625,40.95,0.3027101066431856,0.409421875,0.1944791666666666,0.9592101491657304,0.43546875,0.7036,0.375,0.3606875,1.7857,0.9286,0.0,43.9,5,3,High Demand / Low Effort (3),Customer Pilot,Customer Pilot,0.81,0.145,0.81,0.015,0.03,55.0,5,0.751,demand consistent across segments; solid revenue potential (0.44); negative customer sentiment (0%); high capability request rate (93%)
CONCEPT-011,Predictive Revenue Assistant,Telecommunications,Revenue Forecasting,Business Analyst,3,0.792,17,11,0.4675382352941176,99.3835294117647,0.7346617530356891,0.4033617647058824,0.3486274509803921,0.9238599453888942,0.4272,0.8806117647058824,0.6470588235294118,0.4409411764705883,2.0625,0.875,0.0625,55.7,2,3,High Demand / Low Effort (3),Reusable Asset,Reusable Asset,0.655,0.035,0.29,0.02,0.655,58.6,4,0.779,strong demand intensity (0.47); deep sandbox engagement (norm=0.73); repeatable usage patterns (0.35); demand consistent across segments; solid revenue potential (0.43)
CONCEPT-012,Customer Resolution Engine,Healthcare,Customer Service Automation,Operations Manager,2,0.469,23,12,0.5001739130434782,68.85347826086957,0.5089778692821023,0.2266869565217391,0.3026811594202898,0.8919789543744133,0.4374478260869566,1.0,0.5652173913043478,0.3733043478260869,1.3,1.0,0.15,52.6,4,0,High Demand / Low Effort,Customer Pilot,Customer Pilot,0.84,0.015,0.84,0.07,0.075,62.0,3,0.928,strong demand intensity (0.50); deep sandbox engagement (norm=0.51); repeatable usage patterns (0.30); solid revenue potential (0.44); favorable feasibility profile (0.23)
