customer_id,concept_id,trial_sessions,feature_clicks,repeat_usage_days,active_users,time_spent,abandoned_features
CUST-0004,CONCEPT-001,1,7,0.0,1,17.1,6
CUST-0051,CONCEPT-002,8,40,4.0,3,0.5,0
CUST-0055,CONCEPT-002,4,43,1.0,3,96.625,6
CUST-0027,CONCEPT-002,8,38,3.5,2,33.5,1
CUST-0060,CONCEPT-002,13,37,3.0,7,25.0,4
CUST-0039,CONCEPT-002,11,35,5.0,5,17.5,1
CUST-0009,CONCEPT-002,7,40,3.0,3,11.0,2
CUST-0017,CONCEPT-002,7,53,3.0,4,25.0,2
CUST-0003,CONCEPT-002,5,38,4.0,2,25.0,4
CUST-0062,CONCEPT-002,4,54,6.0,2,44.3,1
CUST-0050,CONCEPT-003,6,49,7.0,2,51.9,5
CUST-0077,CONCEPT-003,11,37,4.0,2,91.9,7
CUST-0012,CONCEPT-003,10,33,3.0,2,17.1,4
CUST-0015,CONCEPT-003,9,48,8.0,1,36.8,5
CUST-0022,CONCEPT-003,6,32,3.0,4,31.6,2
CUST-0035,CONCEPT-003,1,36,3.0,3,51.1,3
CUST-0064,CONCEPT-004,3,49,7.0,2,70.7,4
CUST-0035,CONCEPT-004,7,36,3.0,6,21.2,7
CUST-0079,CONCEPT-004,3,38,2.0,2,31.8,4
CUST-0033,CONCEPT-004,7,47,7.0,1,30.9,2
CUST-0022,CONCEPT-004,5,41,7.0,2,34.9,3
CUST-0028,CONCEPT-004,4,39,2.0,1,69.2,2
CUST-0069,CONCEPT-004,5,38,6.0,2,65.6,3
CUST-0044,CONCEPT-004,4,42,6.0,4,20.2,0
CUST-0014,CONCEPT-004,10,58,4.0,4,87.9,2
CUST-0076,CONCEPT-004,8,52,5.0,1,29.1,5
CUST-0042,CONCEPT-004,8,52,6.0,3,40.0,3
CUST-0007,CONCEPT-004,6,50,6.0,4,53.1,6
CUST-0039,CONCEPT-004,8,50,6.0,1,96.625,6
CUST-0048,CONCEPT-004,6,41,7.0,2,63.4,6
CUST-0065,CONCEPT-004,9,44,4.0,4,35.0,0
CUST-0028,CONCEPT-005,6,24,5.0,2,27.1,1
CUST-0058,CONCEPT-005,7,21,1.0,5,51.4,0
CUST-0008,CONCEPT-006,5,25,3.0,1,22.0,3
CUST-0036,CONCEPT-006,8,25,2.0,2,2.0,4
CUST-0014,CONCEPT-006,6,30,1.0,2,58.1,4
CUST-0032,CONCEPT-006,8,24,1.0,1,19.0,3
CUST-0062,CONCEPT-006,11,30,1.0,1,40.1,1
CUST-0053,CONCEPT-006,9,36,3.0,1,95.7,5
CUST-0065,CONCEPT-006,3,40,5.0,2,24.7,4
CUST-0021,CONCEPT-006,4,45,3.0,1,72.3,4
CUST-0040,CONCEPT-007,5,41,3.0,3,40.7,6
CUST-0075,CONCEPT-007,8,29,4.0,5,12.7,2
CUST-0047,CONCEPT-007,5,52,4.0,7,30.6,1
CUST-0026,CONCEPT-007,3,32,5.0,1,24.3,3
CUST-0029,CONCEPT-007,3,35,6.0,3,12.6,7
CUST-0005,CONCEPT-007,5,50,6.0,1,37.7,4
CUST-0057,CONCEPT-007,12,32,2.0,2,34.6,3
CUST-0040,CONCEPT-009,7,45,7.0,8,78.0,5
CUST-0035,CONCEPT-009,5,44,9.0,3,26.5,5
CUST-0030,CONCEPT-009,3,31,3.0,5,44.5,4
CUST-0064,CONCEPT-009,7,38,5.0,3,55.3,1
CUST-0006,CONCEPT-009,4,28,2.0,1,33.7,4
CUST-0069,CONCEPT-010,1,11,1.0,1,15.6,4
CUST-0078,CONCEPT-010,2,20,0.0,2,28.0,4
CUST-0053,CONCEPT-011,2,53,4.0,10,79.4,4
CUST-0041,CONCEPT-011,14,49,5.0,3,43.1,3
CUST-0021,CONCEPT-011,6,55,12.0,6,30.1,1
CUST-0004,CONCEPT-011,5,47,1.0,2,61.3,4
CUST-0026,CONCEPT-011,9,58,9.0,3,37.3,5
CUST-0071,CONCEPT-011,8,47,4.0,5,16.4,1
CUST-0020,CONCEPT-011,4,69,5.0,4,59.3,3
CUST-0011,CONCEPT-011,12,69,8.0,5,46.7,2
CUST-0048,CONCEPT-011,6,44,4.0,6,17.3,2
CUST-0027,CONCEPT-011,5,52,5.0,1,31.1,2
CUST-0037,CONCEPT-012,4,36,5.0,1,15.3,2
CUST-0031,CONCEPT-012,6,33,3.0,3,63.2,1
CUST-0064,CONCEPT-012,12,43,7.0,2,77.5,6
CUST-0055,CONCEPT-012,7,45,5.0,1,33.4,2
CUST-0006,CONCEPT-012,8,36,4.0,5,25.0,3
CUST-0046,CONCEPT-012,11,55,8.0,2,42.5,4
CUST-0020,CONCEPT-012,5,46,4.0,2,31.2,3
CUST-0016,CONCEPT-012,3,44,10.0,4,44.4,1
CUST-0030,CONCEPT-012,7,36,5.0,1,39.2,2
CUST-0002,CONCEPT-012,5,31,2.0,3,35.9,0
CUST-0015,CONCEPT-012,4,47,7.0,1,92.0,2
